,pretty_formula,final_structure,icsd_ids,spacegroup
0,Ba2H3I,"Full Formula (Ba2 H3 I1)
Reduced Formula: Ba2H3I
abc   :   4.536760   4.536760   8.167979
angles:  90.000000  90.000000 119.999995
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ba    0.666667  0.333333  0.68447          0
  1  Ba    0.333333  0.666667  0.31553          0
  2  H     0.666667  0.333333  0.355946         0
  3  H     0.333333  0.666667  0.644054         0
  4  H     0         0         0.5             -0
  5  I     0         0         0                0",[423520],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-3m1', 'number': 164, 'point_group': '-3m', 'crystal_system': 'trigonal', 'hall': '-P 3 2""'}"
1,CdIBr,"Full Formula (Cd2 I2 Br2)
Reduced Formula: CdIBr
abc   :  14.369878  14.369878  14.369879
angles:  16.886644  16.886644  16.886640
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cd    0.28825   0.28825   0.28825          0
  1  Cd    0.788183  0.788183  0.788183         0
  2  I     0.996126  0.996126  0.996126         0
  3  I     0.162822  0.162822  0.162822         0
  4  Br    0.41885   0.41885   0.41885         -0
  5  Br    0.585769  0.585769  0.585769        -0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R3m', 'number': 160, 'point_group': '3m', 'crystal_system': 'trigonal', 'hall': 'R 3 -2""'}"
2,Cd(AgI2)2,"Full Formula (Cd1 Ag2 I4)
Reduced Formula: Cd(AgI2)2
abc   :   7.978390   7.978390   7.978390
angles: 131.290970 131.290970  71.351195
Sites (7)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cd    0         0         0                0
  1  Ag    0.75      0.25      0.5              0
  2  Ag    0.25      0.75      0.5              0
  3  I     0.860615  0.377877  0               -0
  4  I     0.377877  0.860615  0               -0
  5  I     0.139385  0.139385  0.517262        -0
  6  I     0.622123  0.622123  0.482738        -0",[190587],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'I-42m', 'number': 121, 'point_group': '-42m', 'crystal_system': 'tetragonal', 'hall': 'I -4 2'}"
3,Ca(IN3)2,"Full Formula (Ca1 I2 N6)
Reduced Formula: Ca(IN3)2
abc   :   6.059890   6.059890   6.059890
angles:  60.000000  60.000000  60.000000
Sites (9)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ca    0         0         0           -0.005
  1  I     0.75      0.75      0.75         0.072
  2  I     0.25      0.25      0.25         0.072
  3  N     0.641375  0.641375  0.358625     0.226
  4  N     0.358625  0.641375  0.358625     0.226
  5  N     0.641375  0.358625  0.358625     0.226
  6  N     0.358625  0.358625  0.641375     0.226
  7  N     0.641375  0.358625  0.641375     0.226
  8  N     0.358625  0.641375  0.641375     0.226",[427991],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}"
4,Ag2IO6,"Full Formula (Ag2 I1 O6)
Reduced Formula: Ag2IO6
abc   :   5.891012   5.891012   5.891012
angles:  58.392007  58.392007  58.391999
Sites (9)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.209492  0.209492  0.209492     0.151
  1  Ag    0.790508  0.790508  0.790508     0.151
  2  I     0         0         0           -0.013
  3  O     0.074547  0.819133  0.347454     0.099
  4  O     0.347454  0.074547  0.819133     0.099
  5  O     0.819133  0.347454  0.074547     0.099
  6  O     0.925453  0.180867  0.652546     0.099
  7  O     0.652546  0.925453  0.180867     0.099
  8  O     0.180867  0.652546  0.925453     0.099",[77341],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R-3', 'number': 148, 'point_group': '-3', 'crystal_system': 'trigonal', 'hall': '-R 3'}"
5,Cd(IN)4,"Full Formula (Cd1 I4 N4)
Reduced Formula: Cd(IN)4
abc   :   7.148647   7.148647   6.306512
angles:  78.980704  78.980704  81.627654
Sites (9)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cd    0         0         0            0.078
  1  I     0.80008   0.80008   0.803898     0.286
  2  I     0.19992   0.19992   0.196102     0.286
  3  I     0.410356  0.410356  0.7031       0.132
  4  I     0.589644  0.589644  0.2969       0.132
  5  N     0.299609  0.922098  0.743245     1.793
  6  N     0.922098  0.299609  0.743245     1.793
  7  N     0.700391  0.077902  0.256755     1.793
  8  N     0.077902  0.700391  0.256755     1.793",[32724],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'C2/m', 'number': 12, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-C 2y'}"
6,C3IN,"Full Formula (C6 I2 N2)
Reduced Formula: C3IN
abc   :   8.544118   5.351875   5.963697
angles:  86.692170  90.000000  90.000000
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  C     0.25      0.233786  0.755016         0
  1  C     0.75      0.766214  0.244984         0
  2  C     0.169108  0.287721  0.31339          0
  3  C     0.669108  0.712279  0.68661          0
  4  C     0.830892  0.712279  0.68661          0
  5  C     0.330892  0.287721  0.31339          0
  6  I     0.25      0.693047  0.218813         0
  7  I     0.75      0.306953  0.781187         0
  8  N     0.25      0.260114  0.553303        -0
  9  N     0.75      0.739886  0.446697        -0",[110263],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P2_1/m', 'number': 11, 'point_group': '2/m', 'crystal_system': 'monoclinic', 'hall': '-P 2yb'}"
7,Rb2AuI,"Full Formula (Rb2 Au1 I1)
Reduced Formula: Rb2AuI
abc   :  13.013503  13.013503  13.013503
angles: 120.401390 118.812816  90.687315
Sites (4)
  #  SP           a    b         c    magmom
---  ----  --------  ---  --------  --------
  0  Rb    0.257245    0  0.257245         0
  1  Rb    0.742755    0  0.742755         0
  2  Au    0.5         0  0.5              0
  3  I     0           0  0                0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Immm', 'number': 71, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-I 2 2'}"
8,Cs2AuI,"Full Formula (Cs2 Au1 I1)
Reduced Formula: Cs2AuI
abc   :  13.498468  13.498468  13.498468
angles: 120.646184 118.171934  91.039742
Sites (4)
  #  SP           a    b         c    magmom
---  ----  --------  ---  --------  --------
  0  Cs    0.258567    0  0.258567        -0
  1  Cs    0.741433    0  0.741433        -0
  2  Au    0.5         0  0.5             -0
  3  I     0           0  0               -0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Immm', 'number': 71, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-I 2 2'}"
9,Cs2IBr,"Full Formula (Cs2 I1 Br1)
Reduced Formula: Cs2IBr
abc   :  13.595545  13.595545  13.595545
angles: 120.530460 118.544140  90.811794
Sites (4)
  #  SP          a    b        c    magmom
---  ----  -------  ---  -------  --------
  0  Cs    0.75899    0  0.75899         0
  1  Cs    0.24101    0  0.24101         0
  2  I     0.5        0  0.5            -0
  3  Br    0          0  0              -0",[],"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Immm', 'number': 71, 'point_group': 'mmm', 'crystal_system': 'orthorhombic', 'hall': '-I 2 2'}"
